Date	Open	High	Low	Close	Volume
12/08/2020 16:30:00	148.23	149.71	148.12	149.62	2813
13/08/2020 16:30:00	149.46	149.86	149.14	149.49	20101
14/08/2020 16:30:00	149	149.04	148.11	149.04	273
17/08/2020 16:30:00	149.08	149.69	149.08	149.63	1685
18/08/2020 16:30:00	149.55	150.2	149.55	149.87	498
19/08/2020 16:30:00	149.98	150.39	149.97	150.33	3036
20/08/2020 16:30:00	148.29	148.8	148.02	148.76	4481
21/08/2020 16:30:00	149.07	149.34	148.21	148.97	1310
24/08/2020 16:30:00	150.35	151.25	150.35	150.73	1741
25/08/2020 16:30:00	151.7	151.91	150.95	150.95	12398
26/08/2020 16:30:00	151.06	152.13	151.06	152.13	3262
27/08/2020 16:30:00	152.43	152.95	152.33	152.64	2214
28/08/2020 16:30:00	153.21	153.21	152.98	152.98	110
01/09/2020 16:30:00	153.6	153.78	152.62	153.26	43723
02/09/2020 16:30:00	154.62	155.11	154.06	154.25	5318
03/09/2020 16:30:00	155.52	155.63	150.64	151.29	32593
04/09/2020 16:30:00	151.29	151.92	147.08	148.16	15598
07/09/2020 16:30:00	149.34	150.51	149.34	150.47	3965
08/09/2020 16:30:00	150.47	150.47	146.96	147.62	3612
09/09/2020 16:30:00	147.19	149.61	147.18	149.54	2903
10/09/2020 16:30:00	149.79	149.96	148.91	149.63	2545
11/09/2020 16:30:00	148.8	149.08	148.2	148.2	8927
14/09/2020 16:30:00	149.65	150.12	148.82	150.12	4180
15/09/2020 16:30:00	150.24	151.41	150.11	151.07	11939
16/09/2020 16:30:00	151.18	151.63	150.79	151.45	3698
17/09/2020 16:30:00	148.03	149.9	148.03	149.42	2610
18/09/2020 16:30:00	149.56	149.83	148.78	148.78	3444
21/09/2020 16:30:00	147.82	147.82	143.92	143.92	1775
22/09/2020 16:30:00	145.96	146.36	145.17	145.49	16798
23/09/2020 16:30:00	146.46	147.45	145.88	145.88	20071
24/09/2020 16:30:00	143.39	144.1	142.88	144.1	6514
25/09/2020 16:30:00	144.31	144.36	143.19	144.36	2805
28/09/2020 16:30:00	146.73	147.76	146.55	147.71	406896
29/09/2020 16:30:00	148.01	148.03	147.2	147.53	852
30/09/2020 16:30:00	146.95	149.14	146.31	148.58	13563
01/10/2020 16:30:00	149.42	149.57	148.24	149.06	13995
02/10/2020 16:30:00	147.48	148.48	147.2	148.1	7278
05/10/2020 16:30:00	148.56	150.11	148.56	149.83	8469
06/10/2020 16:30:00	150.44	150.71	149.68	150.42	2674
07/10/2020 16:30:00	149.91	150.61	149.65	150.59	6598
08/10/2020 16:30:00	151.69	151.84	151.13	151.59	1056
09/10/2020 16:30:00	152.32	153.05	152.32	153.05	45447
12/10/2020 16:30:00	153.5	155.02	153.5	154.95	1700
13/10/2020 16:30:00	154.59	155.15	154.08	154.44	127892
14/10/2020 16:30:00	154.55	154.68	153.87	154.06	6069
15/10/2020 16:30:00	152.14	152.28	150.84	151.68	7426
16/10/2020 16:30:00	152.74	153.18	152.74	153.18	496
19/10/2020 16:30:00	153.33	153.42	152.69	152.78	29293
20/10/2020 16:30:00	152.1	152.37	151.71	151.71	8321
21/10/2020 16:30:00	152.46	152.55	151.49	151.87	5605
22/10/2020 16:30:00	151	151.86	150.6	151.44	12149
23/10/2020 16:30:00	151.25	152.74	151.25	152.03	2957
26/10/2020 16:30:00	150.3	151.19	149.47	149.47	7365
27/10/2020 16:30:00	150.03	150.91	149.46	149.72	2343
28/10/2020 16:30:00	149	149	145.13	145.83	1898
29/10/2020 16:30:00	145.34	146.15	144.57	145.59	2470
30/10/2020 16:30:00	143.96	145.06	143.32	144.25	1467
02/11/2020 16:30:00	145.96	146.5	144.83	146.16	7315
03/11/2020 16:30:00	147.25	149.59	147.19	149.59	14871
04/11/2020 16:30:00	148.2	152.77	148.2	152.77	22318
05/11/2020 16:30:00	153.5	155.54	153.5	155.23	16483
06/11/2020 16:30:00	154.77	155.8	153.45	155.31	18371
09/11/2020 16:30:00	157.23	162.19	157.22	159.59	12761
10/11/2020 16:30:00	157.77	157.98	156.36	157.37	29662
11/11/2020 16:30:00	157.78	158.77	157.75	158.68	4786
12/11/2020 16:30:00	157.66	158.56	157.66	158.33	624
13/11/2020 16:30:00	157.72	158.64	157.72	158.16	4694
16/11/2020 16:30:00	160.42	161.2	160.25	160.81	24688
17/11/2020 16:30:00	160.53	161.05	159.81	160.73	9745
18/11/2020 16:30:00	160.41	161.31	160.41	161.12	6219
19/11/2020 16:30:00	159.3	159.69	158.57	159.33	13597
20/11/2020 16:30:00	159.83	160.69	159.8	160.69	14143
23/11/2020 16:30:00	160.73	161.15	159.88	159.88	4843
24/11/2020 16:30:00	160.94	162.82	160.94	162.71	4082
25/11/2020 16:30:00	163	163.11	162.13	162.62	24852
26/11/2020 16:30:00	163.12	163.12	162.8	162.84	3405
27/11/2020 16:30:00	163.02	163.82	163.01	163.82	21442
30/11/2020 16:30:00	162.31	162.96	161.39	161.39	7055
01/12/2020 16:30:00	164.37	164.47	163.3	164.3	7047
02/12/2020 16:30:00	163.66	164.18	163.32	164.17	10352
03/12/2020 16:30:00	164.59	165.35	164.1	165.24	8419
04/12/2020 16:30:00	165.53	166.42	165.37	166.05	1897
07/12/2020 16:30:00	166.58	166.58	164.85	166.04	6918
08/12/2020 16:30:00	165.37	166	164.9	166.02	27334
09/12/2020 16:30:00	167.15	167.15	165.99	165.99	3145
10/12/2020 16:30:00	165.23	165.8	164.6	165.72	5027
11/12/2020 16:30:00	165.4	165.4	163.91	164.6	4665
14/12/2020 16:30:00	166.04	166.52	165.63	165.63	3470
